# Process Name: python3,,,,
# CPU Cores: 12,,,,
# Total System RAM (MB): 64026,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,
# Total GPU Memory (MiB): 8192,,,,
Time,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:35:53,1885752,103,2.2,4058
14:35:54,1885752,103,2.2,4058
14:35:55,1885752,103,2.2,4058
14:35:56,1885752,103,2.2,4058
14:35:57,1885752,103,2.2,4058
14:35:59,1885752,103,2.2,4058
14:36:00,1885752,103,2.2,4058
14:36:01,1885752,103,2.2,4058
14:36:02,1885752,103,2.2,4058
14:36:03,1885752,103,2.2,4058
14:36:04,1885752,103,2.2,4058
14:36:05,1885752,103,2.2,4058
14:36:07,1885752,103,2.2,4058
14:36:08,1885752,103,2.2,4058
14:36:09,1885752,103,2.2,4058
14:36:10,1885752,103,2.2,2622
14:36:11,1885752,103,2.3,3520
14:36:12,1885752,103,2.4,3520
14:36:13,1885752,103,3.4,3520
14:36:15,1885752,103,3.3,3520
14:36:16,1885752,103,2.2,3530
14:36:17,1885752,103,2.2,3530
14:36:18,1885752,103,2.2,3530
14:36:19,1885752,103,2.2,3530
14:36:20,1885752,103,2.2,3530
14:36:21,1885752,103,2.2,3530
14:36:23,1885752,103,2.2,3530
14:36:24,1885752,103,2.2,3530
14:36:25,1885752,103,2.2,3530
14:36:26,1885752,103,2.2,3530
14:36:27,1885752,103,2.2,3530
14:36:28,1885752,103,2.2,3530
14:36:29,1885752,103,2.2,3530
14:36:31,1885752,103,2.2,3530
14:36:32,1885752,103,2.2,3530
14:36:33,1885752,103,2.2,3530
14:36:34,1885752,103,2.2,3530
14:36:35,1885752,103,2.2,3530
14:36:36,1885752,103,2.2,3530
14:36:37,1885752,103,2.2,3530
14:36:39,1885752,102,2.1,3530
14:36:40,1885752,103,3.2,3530
14:36:41,1885752,103,0,0
,,,,
Max,,137,3.4,4058
,,,2.1 Gb,
,,,,
Ideal for 5 subjects,,~ 4 Cores,~ 4 Gb,Keeps on increasing with subject count
